age_range,gender,duration_of_medication,review_date,condition,overall_rating,upvotes,drug_name
  65-74,Female,1 to 6 months,12/7/2017,Pain,1.0,32.0,hydrocodone-acetaminophen oral
  35-44,Female,less than 1 month,12/2/2017,Pain,4.0,2.0,hydrocodone-acetaminophen oral
  65-74,Male,less than 1 month,11/26/2017,Pain,2.7,5.0,hydrocodone-acetaminophen oral
  35-44,,,10/23/2017,Pain,4.3,7.0,hydrocodone-acetaminophen oral
  65-74,Female,5 to less than 10 years,10/7/2017,Pain,5.0,7.0,hydrocodone-acetaminophen oral
  55-64,Male,1 to less than 2 years,9/23/2017,Pain,4.7,16.0,hydrocodone-acetaminophen oral
  45-54,,,9/19/2017,Pain,3.7,18.0,hydrocodone-acetaminophen oral
  65-74,,,8/28/2017,Pain,3.0,12.0,hydrocodone-acetaminophen oral
,Female,less than 1 month,7/26/2017,Pain,4.3,9.0,hydrocodone-acetaminophen oral
  55-64,,,7/21/2017,Pain,1.0,11.0,hydrocodone-acetaminophen oral
  55-64,,,7/14/2017,Pain,3.7,26.0,hydrocodone-acetaminophen oral
,,,6/30/2017,Pain,4.0,21.0,hydrocodone-acetaminophen oral
,Male,2 to less than 5 years,6/27/2017,Pain,5.0,5.0,hydrocodone-acetaminophen oral
  75 or over,Male,less than 1 month,6/24/2017,Pain,5.0,3.0,hydrocodone-acetaminophen oral
  65-74,Male,6 months to less than 1 year,6/20/2017,Pain,5.0,3.0,hydrocodone-acetaminophen oral
  55-64,Female,less than 1 month,6/16/2017,Pain,2.3,12.0,hydrocodone-acetaminophen oral
  45-54,Female,2 to less than 5 years,6/10/2017,Pain,2.3,6.0,hydrocodone-acetaminophen oral
  45-54,,,5/27/2017,Pain,5.0,9.0,hydrocodone-acetaminophen oral
  55-64,Female,less than 1 month,5/23/2017,Pain,1.7,5.0,hydrocodone-acetaminophen oral
  25-34,,,5/16/2017,Pain,4.0,2.0,hydrocodone-acetaminophen oral
  55-64,Female,less than 1 month,3/17/2017,Pain,2.3,9.0,hydrocodone-acetaminophen oral
  75 or over,,,2/22/2017,Pain,4.0,8.0,hydrocodone-acetaminophen oral
  45-54,Male,1 to less than 2 years,2/13/2017,Pain,5.0,16.0,hydrocodone-acetaminophen oral
  65-74,Female,10 years or more,2/2/2017,Pain,4.0,19.0,hydrocodone-acetaminophen oral
  55-64,,,2/1/2017,Pain,5.0,30.0,hydrocodone-acetaminophen oral
,,,1/24/2017,Pain,5.0,14.0,hydrocodone-acetaminophen oral
,Male,1 to 6 months,1/6/2017,Pain,2.7,11.0,hydrocodone-acetaminophen oral
  45-54,Female,less than 1 month,2/2/2023,Type 2 Diabetes Mellitus,3.0,1.0,Trulicity subcutaneous
  55-64,Male,1 to 6 months,1/22/2023,Type 2 Diabetes Mellitus,3.0,1.0,Trulicity subcutaneous
,Male,,1/20/2023,Type 2 Diabetes Mellitus,2.3,1.0,Trulicity subcutaneous
  65-74,Female,less than 1 month,1/15/2023,Type 2 Diabetes Mellitus,2.3,1.0,Trulicity subcutaneous
  45-54,Male,1 to 6 months,1/13/2023,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
  55-64,Female,2 to less than 5 years,1/8/2023,Type 2 Diabetes Mellitus,2.3,1.0,Trulicity subcutaneous
  65-74,Female,1 to 6 months,12/27/2022,Type 2 Diabetes Mellitus,1.7,1.0,Trulicity subcutaneous
  55-64,Male,6 months to less than 1 year,12/22/2022,Type 2 Diabetes Mellitus,2.3,,Trulicity subcutaneous
  65-74,Male,less than 1 month,12/17/2022,Type 2 Diabetes Mellitus,1.0,,Trulicity subcutaneous
  55-64,Female,6 months to less than 1 year,12/15/2022,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
  65-74,Female,1 to 6 months,12/12/2022,Type 2 Diabetes Mellitus,4.3,1.0,Trulicity subcutaneous
  45-54,Female,less than 1 month,12/7/2022,Type 2 Diabetes Mellitus,4.3,1.0,Trulicity subcutaneous
  35-44,Female,,11/29/2022,Type 2 Diabetes Mellitus,2.0,,Trulicity subcutaneous
  35-44,Female,1 to 6 months,11/24/2022,Type 2 Diabetes Mellitus,2.7,1.0,Trulicity subcutaneous
,Female,less than 1 month,11/20/2022,Type 2 Diabetes Mellitus,2.0,1.0,Trulicity subcutaneous
  65-74,Female,6 months to less than 1 year,11/16/2022,Type 2 Diabetes Mellitus,4.7,1.0,Trulicity subcutaneous
  55-64,Female,6 months to less than 1 year,11/7/2022,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
  55-64,Female,less than 1 month,11/4/2022,Type 2 Diabetes Mellitus,2.0,,Trulicity subcutaneous
  35-44,Female,6 months to less than 1 year,11/3/2022,Type 2 Diabetes Mellitus,4.7,1.0,Trulicity subcutaneous
  25-34,Female,less than 1 month,11/1/2022,Type 2 Diabetes Mellitus,3.0,1.0,Trulicity subcutaneous
  25-34,Female,less than 1 month,10/30/2022,Type 2 Diabetes Mellitus,4.0,1.0,Trulicity subcutaneous
  45-54,Female,less than 1 month,10/30/2022,Type 2 Diabetes Mellitus,3.3,1.0,Trulicity subcutaneous
  45-54,Female,5 to less than 10 years,10/3/2022,Type 2 Diabetes Mellitus,1.7,1.0,Trulicity subcutaneous
  45-54,Male,less than 1 month,10/3/2022,Type 2 Diabetes Mellitus,2.3,,Trulicity subcutaneous
  45-54,Female,1 to 6 months,9/28/2022,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
  35-44,Female,less than 1 month,9/26/2022,Type 2 Diabetes Mellitus,3.3,,Trulicity subcutaneous
  65-74,Female,1 to 6 months,9/19/2022,Type 2 Diabetes Mellitus,3.7,1.0,Trulicity subcutaneous
  65-74,Female,6 months to less than 1 year,9/9/2022,Type 2 Diabetes Mellitus,3.7,1.0,Trulicity subcutaneous
  55-64,Male,less than 1 month,9/3/2022,Type 2 Diabetes Mellitus,1.7,1.0,Trulicity subcutaneous
  65-74,Male,1 to less than 2 years,9/1/2022,Type 2 Diabetes Mellitus,4.0,,Trulicity subcutaneous
  55-64,Male,1 to 6 months,8/23/2022,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
  55-64,Male,less than 1 month,8/15/2022,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
  55-64,Female,less than 1 month,8/12/2022,Type 2 Diabetes Mellitus,4.3,1.0,Trulicity subcutaneous
  55-64,Female,less than 1 month,7/28/2022,Type 2 Diabetes Mellitus,3.7,1.0,Trulicity subcutaneous
  25-34,Male,less than 1 month,7/23/2022,Type 2 Diabetes Mellitus,1.7,1.0,Trulicity subcutaneous
  19-24,Female,less than 1 month,7/18/2022,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
  65-74,Male,2 to less than 5 years,7/17/2022,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
,Transgender,,7/9/2022,Type 2 Diabetes Mellitus,2.7,1.0,Trulicity subcutaneous
,Female,,7/8/2022,Type 2 Diabetes Mellitus,3.3,1.0,Trulicity subcutaneous
  65-74,,,7/5/2022,Type 2 Diabetes Mellitus,1.7,,Trulicity subcutaneous
  55-64,Male,1 to 6 months,6/29/2022,Type 2 Diabetes Mellitus,1.7,,Trulicity subcutaneous
  19-24,Female,6 months to less than 1 year,6/27/2022,Type 2 Diabetes Mellitus,3.3,1.0,Trulicity subcutaneous
  55-64,Female,less than 1 month,6/14/2022,Type 2 Diabetes Mellitus,3.3,1.0,Trulicity subcutaneous
,Female,less than 1 month,5/31/2022,Type 2 Diabetes Mellitus,4.3,1.0,Trulicity subcutaneous
  45-54,Female,1 to 6 months,5/22/2022,Type 2 Diabetes Mellitus,4.7,,Trulicity subcutaneous
,Female,,5/22/2022,Type 2 Diabetes Mellitus,4.0,1.0,Trulicity subcutaneous
  35-44,Female,less than 1 month,5/19/2022,Type 2 Diabetes Mellitus,4.7,1.0,Trulicity subcutaneous
,Female,,5/14/2022,Type 2 Diabetes Mellitus,1.0,1.0,Trulicity subcutaneous
  35-44,Male,1 to 6 months,5/9/2022,Type 2 Diabetes Mellitus,3.7,1.0,Trulicity subcutaneous
  0-2,Female,1 to 6 months,4/19/2022,Type 2 Diabetes Mellitus,2.7,1.0,Trulicity subcutaneous
  19-24,Female,1 to less than 2 years,4/18/2022,Type 2 Diabetes Mellitus,1.7,1.0,Trulicity subcutaneous
  45-54,Female,2 to less than 5 years,4/18/2022,Type 2 Diabetes Mellitus,3.3,1.0,Trulicity subcutaneous
  35-44,Female,less than 1 month,4/5/2022,Type 2 Diabetes Mellitus,1.0,1.0,Trulicity subcutaneous
  55-64,Male,less than 1 month,3/27/2022,Type 2 Diabetes Mellitus,3.3,1.0,Trulicity subcutaneous
  19-24,Other,less than 1 month,3/25/2022,Type 2 Diabetes Mellitus,3.0,,Trulicity subcutaneous
  19-24,Female,1 to 6 months,2/27/2022,Type 2 Diabetes Mellitus,2.3,1.0,Trulicity subcutaneous
  55-64,Male,1 to 6 months,2/5/2022,Type 2 Diabetes Mellitus,1.0,1.0,Trulicity subcutaneous
  65-74,Female,less than 1 month,2/4/2022,Type 2 Diabetes Mellitus,1.0,,Trulicity subcutaneous
  55-64,Female,1 to 6 months,1/26/2022,Type 2 Diabetes Mellitus,1.0,,Trulicity subcutaneous
,Male,1 to 6 months,1/21/2022,Type 2 Diabetes Mellitus,4.0,1.0,Trulicity subcutaneous
  25-34,Male,1 to 6 months,1/13/2022,Type 2 Diabetes Mellitus,3.0,1.0,Trulicity subcutaneous
  19-24,Female,1 to 6 months,1/5/2022,Type 2 Diabetes Mellitus,2.7,1.0,Trulicity subcutaneous
  65-74,Female,less than 1 month,11/28/2021,Type 2 Diabetes Mellitus,1.0,1.0,Trulicity subcutaneous
  45-54,Male,1 to less than 2 years,11/20/2021,Type 2 Diabetes Mellitus,2.3,1.0,Trulicity subcutaneous
  75 or over,Male,1 to less than 2 years,10/21/2021,Type 2 Diabetes Mellitus,3.7,,Trulicity subcutaneous
  55-64,Female,2 to less than 5 years,7/31/2021,Type 2 Diabetes Mellitus,4.3,2.0,Trulicity subcutaneous
  55-64,Female,1 to 6 months,7/19/2021,Type 2 Diabetes Mellitus,5.0,1.0,Trulicity subcutaneous
,Male,less than 1 month,5/26/2021,Type 2 Diabetes Mellitus,2.0,2.0,Trulicity subcutaneous
  25-34,Female,6 months to less than 1 year,4/26/2021,Type 2 Diabetes Mellitus,5.0,2.0,Trulicity subcutaneous
  35-44,Female,1 to 6 months,12/16/2020,Type 2 Diabetes Mellitus,5.0,4.0,Trulicity subcutaneous
  35-44,Female,1 to less than 2 years,9/7/2020,Type 2 Diabetes Mellitus,3.3,5.0,Trulicity subcutaneous
  55-64,Female,1 to less than 2 years,6/12/2020,Type 2 Diabetes Mellitus,2.3,,Trulicity subcutaneous
,Female,1 to 6 months,2/9/2020,Type 2 Diabetes Mellitus,5.0,4.0,Trulicity subcutaneous
,,,2/2/2020,Type 2 Diabetes Mellitus,2.3,8.0,Trulicity subcutaneous
  25-34,Male,2 to less than 5 years,9/24/2019,Type 2 Diabetes Mellitus,4.7,8.0,Trulicity subcutaneous
  65-74,Male,1 to 6 months,9/8/2019,Type 2 Diabetes Mellitus,3.0,7.0,Trulicity subcutaneous
  55-64,Female,1 to 6 months,9/7/2019,Type 2 Diabetes Mellitus,5.0,7.0,Trulicity subcutaneous
  65-74,Male,1 to 6 months,9/2/2019,Type 2 Diabetes Mellitus,3.7,5.0,Trulicity subcutaneous
  35-44,Female,1 to 6 months,8/14/2019,Type 2 Diabetes Mellitus,2.3,2.0,Trulicity subcutaneous
  65-74,Male,6 months to less than 1 year,6/3/2019,Type 2 Diabetes Mellitus,1.7,4.0,Trulicity subcutaneous
,,,5/14/2019,Type 2 Diabetes Mellitus,4.0,5.0,Trulicity subcutaneous
  45-54,,,5/7/2019,Type 2 Diabetes Mellitus,3.0,4.0,Trulicity subcutaneous
  55-64,Male,less than 1 month,5/4/2019,Type 2 Diabetes Mellitus,1.0,7.0,Trulicity subcutaneous
  45-54,Female,1 to 6 months,4/29/2019,Type 2 Diabetes Mellitus,2.3,6.0,Trulicity subcutaneous
  55-64,Male,1 to 6 months,4/21/2019,Type 2 Diabetes Mellitus,5.0,8.0,Trulicity subcutaneous
  55-64,Male,1 to 6 months,4/8/2019,Type 2 Diabetes Mellitus,2.3,3.0,Trulicity subcutaneous
  35-44,Female,1 to 6 months,4/4/2019,Type 2 Diabetes Mellitus,5.0,7.0,Trulicity subcutaneous
  65-74,,,3/23/2019,Type 2 Diabetes Mellitus,2.3,3.0,Trulicity subcutaneous
  55-64,,,3/16/2019,Type 2 Diabetes Mellitus,1.0,4.0,Trulicity subcutaneous
  55-64,Female,less than 1 month,3/5/2019,Type 2 Diabetes Mellitus,2.3,4.0,Trulicity subcutaneous
  45-54,,,2/17/2019,Type 2 Diabetes Mellitus,1.0,6.0,Trulicity subcutaneous
  45-54,,,2/12/2019,Type 2 Diabetes Mellitus,2.7,3.0,Trulicity subcutaneous
  65-74,,,1/19/2019,Type 2 Diabetes Mellitus,5.0,19.0,Trulicity subcutaneous
  55-64,,,1/19/2019,Type 2 Diabetes Mellitus,1.0,4.0,Trulicity subcutaneous
  55-64,Male,1 to 6 months,1/7/2019,Type 2 Diabetes Mellitus,3.0,3.0,Trulicity subcutaneous
  35-44,Female,less than 1 month,12/15/2018,Type 2 Diabetes Mellitus,2.0,7.0,Trulicity subcutaneous
  65-74,,,11/6/2018,Type 2 Diabetes Mellitus,5.0,23.0,Trulicity subcutaneous
  55-64,Female,1 to 6 months,9/17/2018,Type 2 Diabetes Mellitus,2.0,10.0,Trulicity subcutaneous
  55-64,Female,6 months to less than 1 year,9/16/2018,Type 2 Diabetes Mellitus,5.0,17.0,Trulicity subcutaneous
  45-54,,,8/20/2018,Type 2 Diabetes Mellitus,5.0,3.0,Trulicity subcutaneous
  45-54,,,8/19/2018,Type 2 Diabetes Mellitus,3.0,9.0,Trulicity subcutaneous
  75 or over,,,8/1/2018,Type 2 Diabetes Mellitus,3.7,4.0,Trulicity subcutaneous
  55-64,,,7/17/2018,Type 2 Diabetes Mellitus,5.0,13.0,Trulicity subcutaneous
  55-64,,,7/13/2018,Type 2 Diabetes Mellitus,3.3,6.0,Trulicity subcutaneous
  55-64,Female,1 to 6 months,7/11/2018,Type 2 Diabetes Mellitus,1.0,5.0,Trulicity subcutaneous
  55-64,,,6/12/2018,Type 2 Diabetes Mellitus,4.0,1.0,Trulicity subcutaneous
  75 or over,Male,less than 1 month,2/10/2023,Chronic Trouble Sleeping,2.3,,trazodone oral
  19-24,Female,less than 1 month,2/7/2023,insomnia associated with depression,2.3,1.0,trazodone oral
  55-64,Male,6 months to less than 1 year,1/20/2023,Major Depressive Disorder,4.0,,trazodone oral
  55-64,Female,10 years or more,1/18/2023,insomnia associated with depression,1.0,1.0,trazodone oral
  55-64,Female,10 years or more,1/18/2023,insomnia associated with depression,1.7,1.0,trazodone oral
  35-44,Female,1 to 6 months,1/15/2023,Chronic Trouble Sleeping,4.7,1.0,trazodone oral
  35-44,Male,6 months to less than 1 year,12/16/2022,insomnia associated with depression,2.3,1.0,trazodone oral
  25-34,Male,1 to 6 months,12/15/2022,insomnia associated with depression,4.3,1.0,trazodone oral
  65-74,Female,1 to 6 months,11/5/2022,Chronic Trouble Sleeping,1.0,1.0,trazodone oral
  65-74,Female,less than 1 month,10/25/2022,insomnia associated with depression,1.0,,trazodone oral
  55-64,Male,1 to 6 months,10/8/2022,insomnia associated with depression,1.7,1.0,trazodone oral
  45-54,Female,1 to less than 2 years,9/26/2022,Chronic Trouble Sleeping,1.0,1.0,trazodone oral
  25-34,Female,less than 1 month,9/17/2022,insomnia associated with depression,4.0,1.0,trazodone oral
  45-54,Male,,9/11/2022,Depression,1.0,,trazodone oral
  45-54,Female,5 to less than 10 years,9/9/2022,Chronic Trouble Sleeping,1.0,,trazodone oral
,Other,,9/2/2022,insomnia associated with depression,1.7,1.0,trazodone oral
  45-54,Male,less than 1 month,8/9/2022,insomnia associated with depression,2.0,1.0,trazodone oral
  65-74,Male,6 months to less than 1 year,8/5/2022,Chronic Trouble Sleeping,2.3,,trazodone oral
  65-74,Male,2 to less than 5 years,8/2/2022,insomnia associated with depression,4.0,1.0,trazodone oral
  65-74,Male,1 to 6 months,7/18/2022,Chronic Trouble Sleeping,2.3,,trazodone oral
  45-54,Female,1 to 6 months,7/6/2022,Chronic Trouble Sleeping,4.3,1.0,trazodone oral
  19-24,Male,2 to less than 5 years,6/10/2022,Chronic Trouble Sleeping,2.3,1.0,trazodone oral
  45-54,Female,1 to less than 2 years,5/26/2022,insomnia associated with depression,5.0,1.0,trazodone oral
  35-44,Female,1 to 6 months,5/13/2022,Chronic Trouble Sleeping,4.3,1.0,trazodone oral
  45-54,Female,1 to 6 months,5/5/2022,insomnia associated with depression,1.0,,trazodone oral
  65-74,Male,5 to less than 10 years,4/28/2022,Chronic Trouble Sleeping,1.7,1.0,trazodone oral
  35-44,Female,10 years or more,4/15/2022,Major Depressive Disorder,5.0,1.0,trazodone oral
  35-44,Female,less than 1 month,4/7/2022,Chronic Trouble Sleeping,1.3,1.0,trazodone oral
  35-44,Transgender,1 to less than 2 years,4/6/2022,insomnia associated with depression,3.7,1.0,trazodone oral
  35-44,Female,less than 1 month,4/6/2022,Chronic Trouble Sleeping,2.3,,trazodone oral
  13-18,Transgender,less than 1 month,4/4/2022,insomnia associated with depression,4.0,1.0,trazodone oral
  75 or over,Female,1 to less than 2 years,3/29/2022,Chronic Trouble Sleeping,3.7,1.0,trazodone oral
  65-74,Female,1 to less than 2 years,3/28/2022,Chronic Trouble Sleeping,5.0,1.0,trazodone oral
  19-24,Male,less than 1 month,3/25/2022,Chronic Trouble Sleeping,1.3,1.0,trazodone oral
  55-64,Male,less than 1 month,3/1/2022,Chronic Trouble Sleeping,2.3,1.0,trazodone oral
  55-64,Female,1 to 6 months,2/7/2022,Chronic Trouble Sleeping,5.0,1.0,trazodone oral
  25-34,Male,1 to less than 2 years,1/27/2022,insomnia associated with depression,3.0,1.0,trazodone oral
  55-64,Male,6 months to less than 1 year,1/12/2022,Chronic Trouble Sleeping,2.3,,trazodone oral
  55-64,Nonbinary,less than 1 month,12/31/2021,Chronic Trouble Sleeping,2.3,1.0,trazodone oral
  65-74,Male,1 to less than 2 years,12/24/2021,insomnia associated with depression,4.3,1.0,trazodone oral
  55-64,Female,10 years or more,12/11/2021,Chronic Trouble Sleeping,5.0,1.0,trazodone oral
  19-24,Female,1 to 6 months,11/27/2021,insomnia associated with depression,4.7,1.0,trazodone oral
  19-24,Male,less than 1 month,10/18/2021,insomnia associated with depression,2.3,1.0,trazodone oral
  55-64,Male,1 to 6 months,7/22/2021,Chronic Trouble Sleeping,4.7,2.0,trazodone oral
  65-74,Male,less than 1 month,7/17/2021,Chronic Trouble Sleeping,2.7,2.0,trazodone oral
  25-34,Female,2 to less than 5 years,7/7/2021,insomnia associated with depression,4.7,2.0,trazodone oral
  25-34,Female,2 to less than 5 years,7/6/2021,insomnia associated with depression,5.0,2.0,trazodone oral
  19-24,Female,1 to less than 2 years,7/5/2021,insomnia associated with depression,2.7,2.0,trazodone oral
  45-54,Female,6 months to less than 1 year,6/30/2021,insomnia associated with depression,5.0,2.0,trazodone oral
,Female,less than 1 month,6/30/2021,Chronic Trouble Sleeping,1.3,1.0,trazodone oral
  55-64,Female,less than 1 month,6/15/2021,Chronic Trouble Sleeping,1.7,1.0,trazodone oral
  65-74,Female,2 to less than 5 years,6/14/2021,insomnia associated with depression,5.0,2.0,trazodone oral
  55-64,Female,1 to 6 months,6/8/2021,insomnia associated with depression,3.3,2.0,trazodone oral
  13-18,Nonbinary,,5/14/2021,Depression,5.0,2.0,trazodone oral
  19-24,Female,1 to 6 months,5/5/2021,insomnia associated with depression,4.3,2.0,trazodone oral
,,,4/27/2021,insomnia associated with depression,1.7,1.0,trazodone oral
,,,1/9/2021,Chronic Trouble Sleeping,4.0,15.0,trazodone oral
  65-74,,,12/23/2020,Chronic Trouble Sleeping,1.0,11.0,trazodone oral
  55-64,Male,less than 1 month,11/13/2020,Chronic Trouble Sleeping,2.0,8.0,trazodone oral
,Female,less than 1 month,10/8/2020,insomnia associated with depression,1.0,2.0,trazodone oral
  45-54,,,9/30/2020,insomnia associated with depression,4.7,2.0,trazodone oral
  45-54,Female,less than 1 month,5/12/2020,Chronic Trouble Sleeping,2.3,16.0,trazodone oral
  25-34,Female,1 to less than 2 years,4/27/2020,Chronic Trouble Sleeping,5.0,19.0,trazodone oral
  35-44,Female,5 to less than 10 years,3/10/2020,Chronic Trouble Sleeping,5.0,21.0,trazodone oral
  65-74,,,2/1/2020,Chronic Trouble Sleeping,1.0,4.0,trazodone oral
  45-54,,,1/25/2020,Chronic Trouble Sleeping,1.0,5.0,trazodone oral
  65-74,,,11/17/2019,Chronic Trouble Sleeping,1.0,7.0,trazodone oral
,Male,1 to 6 months,9/29/2019,insomnia associated with depression,3.0,,trazodone oral
  25-34,Female,2 to less than 5 years,9/11/2019,insomnia associated with depression,3.0,1.0,trazodone oral
  65-74,Male,6 months to less than 1 year,8/29/2019,Chronic Trouble Sleeping,2.7,9.0,trazodone oral
  19-24,Female,less than 1 month,8/27/2019,Chronic Trouble Sleeping,1.7,9.0,trazodone oral
  65-74,Male,2 to less than 5 years,8/12/2019,Chronic Trouble Sleeping,5.0,20.0,trazodone oral
  65-74,Male,2 to less than 5 years,8/12/2019,Chronic Trouble Sleeping,5.0,6.0,trazodone oral
  65-74,Female,10 years or more,8/5/2019,Chronic Trouble Sleeping,5.0,10.0,trazodone oral
,Male,less than 1 month,7/24/2019,insomnia associated with depression,2.0,1.0,trazodone oral
  13-18,,,7/23/2019,insomnia associated with depression,4.3,3.0,trazodone oral
  35-44,Female,less than 1 month,5/30/2019,Chronic Trouble Sleeping,2.3,9.0,trazodone oral
  45-54,,,5/28/2019,Chronic Trouble Sleeping,5.0,16.0,trazodone oral
  13-18,Female,less than 1 month,4/16/2019,insomnia associated with depression,3.3,3.0,trazodone oral
  65-74,,,4/12/2019,insomnia associated with depression,4.3,5.0,trazodone oral
  45-54,Female,5 to less than 10 years,2/21/2019,Chronic Trouble Sleeping,5.0,21.0,trazodone oral
  25-34,,,2/3/2019,insomnia associated with depression,1.7,4.0,trazodone oral
,Male,10 years or more,1/5/2019,Depression,3.0,2.0,trazodone oral
  55-64,Female,1 to less than 2 years,12/13/2018,Chronic Trouble Sleeping,1.3,22.0,trazodone oral
,Male,2 to less than 5 years,10/16/2018,Chronic Trouble Sleeping,5.0,33.0,trazodone oral
,Female,1 to 6 months,10/5/2018,Chronic Trouble Sleeping,2.3,32.0,trazodone oral
  45-54,,,8/24/2018,Chronic Trouble Sleeping,3.7,27.0,trazodone oral
  45-54,,,6/20/2018,Chronic Trouble Sleeping,4.3,24.0,trazodone oral
  35-44,,,4/20/2018,Chronic Trouble Sleeping,4.0,29.0,trazodone oral
  75 or over,Female,less than 1 month,4/8/2018,Chronic Trouble Sleeping,4.7,22.0,trazodone oral
  65-74,Female,less than 1 month,3/24/2018,Chronic Trouble Sleeping,2.0,24.0,trazodone oral
,Female,1 to less than 2 years,3/16/2018,Chronic Trouble Sleeping,5.0,17.0,trazodone oral
  55-64,,,2/25/2018,Chronic Trouble Sleeping,1.0,21.0,trazodone oral
  65-74,,,2/9/2018,Chronic Trouble Sleeping,5.0,30.0,trazodone oral
  55-64,Female,,2/3/2018,Chronic Trouble Sleeping,5.0,25.0,trazodone oral
,Female,5 to less than 10 years,1/5/2018,Depression,4.0,2.0,trazodone oral
  45-54,Female,5 to less than 10 years,12/5/2017,Chronic Trouble Sleeping,5.0,29.0,trazodone oral
  55-64,Female,less than 1 month,11/16/2017,Chronic Trouble Sleeping,1.0,22.0,trazodone oral
  55-64,Female,less than 1 month,10/25/2017,Chronic Trouble Sleeping,4.7,38.0,trazodone oral
,,,10/21/2017,Chronic Trouble Sleeping,5.0,24.0,trazodone oral
  65-74,Female,5 to less than 10 years,9/12/2017,Chronic Trouble Sleeping,5.0,14.0,trazodone oral
  45-54,,,8/21/2017,Chronic Trouble Sleeping,5.0,24.0,trazodone oral
,,,8/16/2017,Depression,5.0,5.0,trazodone oral
,Female,less than 1 month,8/4/2017,Chronic Trouble Sleeping,2.0,20.0,trazodone oral
,Female,1 to 6 months,7/6/2017,Chronic Trouble Sleeping,5.0,44.0,trazodone oral
  55-64,Male,1 to 6 months,6/16/2017,Chronic Trouble Sleeping,5.0,33.0,trazodone oral
  55-64,,,6/13/2017,Chronic Trouble Sleeping,5.0,22.0,trazodone oral
  25-34,Female,2 to less than 5 years,6/7/2017,Chronic Trouble Sleeping,5.0,23.0,trazodone oral
  19-24,,,5/27/2017,Chronic Trouble Sleeping,5.0,21.0,trazodone oral
  45-54,,,5/22/2017,Chronic Trouble Sleeping,3.3,20.0,trazodone oral
  19-24,Female,less than 1 month,5/12/2017,Chronic Trouble Sleeping,4.0,13.0,trazodone oral
,,,3/28/2017,Chronic Trouble Sleeping,4.0,10.0,trazodone oral
  65-74,Female,1 to 6 months,2/2/2023,"Disorder characterized by Stiff, Tender & Painful Muscles",3.7,1.0,tramadol oral
  55-64,Female,2 to less than 5 years,12/24/2022,Chronic Pain,3.0,1.0,tramadol oral
  65-74,Female,1 to 6 months,11/20/2022,Pain,2.3,1.0,tramadol oral
  25-34,Female,1 to 6 months,10/23/2022,Chronic Pain,1.0,1.0,tramadol oral
  19-24,Female,6 months to less than 1 year,9/25/2022,Joint Damage causing Pain and Loss of Function,4.3,1.0,tramadol oral
  55-64,Female,1 to 6 months,9/21/2022,Neuropathic Pain,1.7,1.0,tramadol oral
  45-54,Male,1 to 6 months,8/27/2022,Joint Damage causing Pain and Loss of Function,4.3,1.0,tramadol oral
  65-74,Female,10 years or more,8/18/2022,Pain,4.0,1.0,tramadol oral
  55-64,Female,1 to 6 months,7/14/2022,Pain,4.0,,tramadol oral
  45-54,Female,6 months to less than 1 year,5/15/2022,Joint Damage causing Pain and Loss of Function,5.0,1.0,tramadol oral
  19-24,Male,less than 1 month,5/3/2022,Pain,5.0,1.0,tramadol oral
  45-54,Female,5 to less than 10 years,5/3/2022,Neuropathic Pain,4.0,1.0,tramadol oral
  65-74,Female,10 years or more,3/13/2022,Neuropathic Pain,4.0,1.0,tramadol oral
  35-44,Male,less than 1 month,3/9/2022,Neuropathic Pain,2.7,1.0,tramadol oral
  65-74,Female,10 years or more,2/27/2022,Chronic Pain,4.3,1.0,tramadol oral
  65-74,Female,less than 1 month,2/6/2022,Pain,2.3,1.0,tramadol oral
  19-24,Male,2 to less than 5 years,1/23/2022,Joint Damage causing Pain and Loss of Function,1.3,1.0,tramadol oral
  65-74,Female,less than 1 month,1/14/2022,Pain,4.0,1.0,tramadol oral
  45-54,Male,less than 1 month,12/10/2021,Chronic Pain,4.0,,tramadol oral
  65-74,Female,less than 1 month,12/1/2021,Pain,4.0,1.0,tramadol oral
  65-74,Male,10 years or more,11/18/2021,Chronic Pain,4.7,1.0,tramadol oral
,,,11/8/2021,Neuropathic Pain,5.0,1.0,tramadol oral
,,,10/14/2021,Neuropathic Pain,5.0,,tramadol oral
,,,10/14/2021,Neuropathic Pain,5.0,,tramadol oral
  35-44,Female,5 to less than 10 years,8/31/2021,Pain,5.0,1.0,tramadol oral
  55-64,Female,less than 1 month,5/30/2021,Joint Damage causing Pain and Loss of Function,3.7,2.0,tramadol oral
  65-74,Male,2 to less than 5 years,5/29/2021,Joint Damage causing Pain and Loss of Function,4.3,2.0,tramadol oral
,Female,1 to 6 months,5/25/2021,Pain,3.0,2.0,tramadol oral
  75 or over,Male,6 months to less than 1 year,5/25/2021,Chronic Pain,3.7,,tramadol oral
